year;d_0;S_2802;Smax;d_smax;H_2802;H_max;d_hmax;X;X1;X2;Xs;Q12;Q01;Q02;W12;W01;W02;Y12;Y01;Y02;Y_sum
1991;06.12.1990;26;53;20.02.1991;236;520;29.03;92.7;45.1;27.7;108.0;315.0;213.0;160.0;843.7;570.5;387.1;30.9;20.9;14.2;66.0
1992;05.12.1991;67;67;28.02.1992;123;687;1.04;135.0;58.1;57.2;135.0;105.0;189.0;122.0;281.2;506.2;295.1;10.3;18.5;10.8;39.7
1993;23.11.1992;49;49;28.02.1993;151;604;12.04;104.0;42.9;41.7;104.0;158.0;159.0;236.0;423.2;425.9;570.9;15.5;15.6;20.9;52.0
1994;07.11.1993;95;105;10.03.1994;116;941;16.04;133.0;44.1;51.2;126.0;72.5;59.3;53.9;194.2;158.8;130.4;7.1;5.8;4.8;17.7
1995;11.11.1994;28;28;28.02.1995;280;610;12.03;176.0;13.8;11.8;181.0;92.2;115.0;187.0;246.9;308.0;452.4;9.0;11.3;16.6;36.9
1996;01.11.1995;75;81;20.02.1996;79;483;17.04;95.3;33.2;17.6;110.0;84.3;59.3;49.9;225.8;158.8;120.7;8.3;5.8;4.4;18.5
1997;09.12.1996;19;44;10.02.1997;228;374;13.03;70.7;42.8;10.2;99.2;267.0;81.1;76.9;715.1;217.2;186.0;26.2;8.0;6.8;41.0
1998;26.11.1997;8;70;10.02.1998;375;484;22.04;109.0;82.9;48.3;145.0;144.0;208.0;202.0;385.7;557.1;488.7;14.1;20.4;17.9;52.4
1999;08.11.1998;120;120;28.02.1999;159;838;14.04;134.0;48.3;46.0;164.0;137.0;188.0;128.0;366.9;503.5;309.7;13.4;18.4;11.3;43.2
2000;15.11.1999;59;62;20.02.2000;134;764;16.04;169.0;112.0;104.0;174.0;99.7;106.0;116.0;267.0;283.9;280.6;9.8;10.4;10.3;30.5
2001;18.12.2000;69;107;10.03.2001;213;654;11.04;88.2;20.1;39.8;107.0;261.0;166.0;139.0;699.1;444.6;336.3;25.6;16.3;12.3;54.2
2002;28.11.2001;28;75;20.01.2002;287;507;13.03;28.1;20.0;1.0;75.4;87.0;72.7;346.0;233.0;194.7;837.0;8.5;7.1;30.7;46.3
2003;29.11.2002;55;60;20.02.2023;59;378;19.05;76.5;114.0;113.0;76.7;53.2;43.2;43.8;142.5;115.7;106.0;5.2;4.2;3.9;13.3
2004;01.12.2003;164;165;10.03.2004;233;879;31.03;213.0;18.8;28.4;170.0;250.0;163.0;164.0;669.6;436.6;396.7;24.5;16.0;14.5;55.1
2005;17.11.2004;45;75;31.03.2005;235;672;14.04;294.0;299.0;65.8;235.0;214.0;445.0;167.0;573.2;1191.9;404.0;21.0;43.7;14.8;79.5
2006;18.11.2005;79;115;20.03.2006;94;555;17.04;246.0;77.3;109.0;210.0;71.0;59.4;43.0;190.2;159.1;104.0;7.0;5.8;3.8;16.6
2007;23.01.2007;47;47;28.02.2007;295;594;23.03;42.7;38.3;35.2;45.1;301.0;486.0;173.0;806.2;1301.7;418.5;29.5;47.7;15.3;92.5
2008;24.12.2007;0;36;20.02.2008;281;475;19.03;65.2;66.4;45.0;88.0;156.0;96.9;103.0;417.8;259.5;249.2;15.3;9.5;9.1;33.9
2009;08.12.2008;82;91;20.03.2009;243;669;8.04;142.0;36.4;49.6;130.0;323.0;132.0;174.0;865.1;353.5;420.9;31.7;13.0;15.4;60.1
2010;08.12.2009;143;152;10.03.2010;147;873;6.04;168.0;35.6;46.5;159.0;300.0;117.0;72.9;803.5;313.4;176.4;29.4;11.5;6.5;47.4
2011;27.11.2010;140;167;20.03.2011;174;758;14.04;198.0;30.4;38.5;188.0;137.0;117.0;113.0;366.9;313.4;273.4;13.4;11.5;10.0;34.9
2012;20.12.2011;92;106;10.03.2012;159;825;24.04;166.0;106.0;118.0;110.0;217.0;163.0;103.0;581.2;436.6;249.2;21.3;16.0;9.1;46.4
2013;02.12.2012;79;130;20.03.2013;172;929;21.04;147.0;30.3;71.9;109.0;289.0;143.0;122.0;774.1;383.0;295.1;28.4;14.0;10.8;53.2
2014;06.12.2013;2;11;20.02.2014;226;313;29.03;113.0;29.9;23.2;117.0;231.0;269.0;128.0;618.7;720.5;309.7;22.7;26.4;11.3;60.4
2015;16.11.2014;26;52;10.02.2015;88;371;21.04;144.0;78.1;70.1;153.0;40.3;60.1;72.9;107.9;161.0;176.4;4.0;5.9;6.5;16.3
2016;27.12.2015;27;60;05.03.2016;77;386;3.05;137.0;96.9;116.0;129.0;67.6;62.5;85.4;181.1;167.4;206.6;6.6;6.1;7.6;20.3
2017;04.11.2016;58;62;20.02.2017;210;497;24.03;171.0;167.0;39.7;198.0;204.0;221.0;84.5;546.4;591.9;204.4;20.0;21.7;7.5;49.2
2018;08.01.2018;62;80;10.03.2018;197;594;13.04;23.5;23.5;24.4;22.5;391.0;492.0;173.0;1047.3;1317.8;418.5;38.4;48.3;15.3;102.0
2019;20.11.2018;80;111;31.01.2019;55;388;26.03;107.0;66.7;43.3;128.0;43.1;43.5;54.3;115.4;116.5;131.4;4.2;4.3;4.8;13.3
2020;22.11.2019;2;5;10.02.2020;294;416;14.03;115.0;60.9;34.7;120.0;173.0;250.0;265.0;463.4;669.6;641.1;17.0;24.5;23.5;65.0
2021;01.12.2020;14;57;25.02.2021;139;560;6.04;124.0;55.6;51.4;128.0;140.0;184.0;145.0;375.0;492.8;350.8;13.7;18.1;12.8;44.6
2022;04.12.2021;72;85;10.02.2022;184;518;16.4;112.0;61.7;36.6;137.0;202.0;105.2;101.0;541.0;281.8;244.3;19.8;10.3;9.0;39.1
2023;16.11.2022;115;128;10.03.2023;163;940;4.04;283.0;99.7;116.0;264.0;141.0;543.0;249.0;377.7;1454.4;602.4;13.8;53.3;22.1;89.2
